Company code,Fiscal year,Document number,Debit cost center,Credit cost center,Debit profit center,Credit profit center,Debit account AP clearing,Credit account AP clearing,Debit account AR clearing,Credit account AR clearing,Debit account types,Credit account types,Debit accounts,Credit accounts,Debit GL account text combine,Credit GL account text combine,Debit GL account text,Credit GL account text,Debit GL account is bank,Credit GL account is bank,Debit P&L,Credit P&L,Debit customer name,Credit customer name,Debit supplier name,Credit supplier name,Debit asset,Debit asset description,Credit asset,Credit asset description,Debit supplier is customer,Debit supplier is customer name,Credit supplier is customer,Credit supplier is customer name,Debit customer is supplier,Debit customer is supplier name,Credit customer is supplier,Credit customer is supplier name,Debit GL account found in CSKB,Credit GL account found in CSKB,Company code description,Fiscal period,Document type,Document type description,Posting date,Document date,Input date,Transaction code,Transaction code text,Ref transaction,Local currency,User name,User name text,Entry type,Debit account type description,Credit account type description,Debit supplier,Credit supplier,Debit supplier group,Credit supplier group,Debit supplier group text,Credit supplier group text,Debit customer,Credit customer,Debit customer group,Credit customer group,Debit customer group description,Credit customer group description,Debit tango account,Credit tango account,Debit document amount,Debit amount (Custom),Credit document amount,Credit amount (Custom)
5385,2021,100000012,:Not assigned,:Not assigned_:Not assigned,0000030527:LEFT BANK PICTURES,0000030527:LEFT BANK PICTURES_0000030527:LEFT BANK PICTURES,,_,,_,S,S_S,160425,0000170425_0000700100,0000160425 : Furn & Fix NonRecon,0000170425 : Accum Dep Fur&FixNR_0000700100 : Oth Inc,Furn & Fix NonRecon,Accum Dep Fur&FixNR_Oth Inc,,_,,_Y,,_,,_,|,,|_|,_,_,,_,_,,,_,_,,_,Left Bank Pictures Ltd,7,AA,Asset Posting,30-09-20,30-09-20,19-10-20,AB01,Create asset transactions,AMBU,GBP,DBARLOW,,Regular,G/L accounts,G/L accounts_G/L accounts,,_,_,_,_,_,,_,_,_,_,_,155600,156600_701000,12757.82,16410.46,-12757.82,-16410.46
5385,2021,100000013,:Not assigned,:Not assigned_:Not assigned,0000030527:LEFT BANK PICTURES,0000030527:LEFT BANK PICTURES_0000030527:LEFT BANK PICTURES,,_,,_,S,S_S,160425,0000170425_0000700100,0000160425 : Furn & Fix NonRecon,0000170425 : Accum Dep Fur&FixNR_0000700100 : Oth Inc,Furn & Fix NonRecon,Accum Dep Fur&FixNR_Oth Inc,,_,,_Y,,_,,_,|,,|_|,_,_,,_,_,,,_,_,,_,Left Bank Pictures Ltd,7,AA,Asset Posting,30-09-20,30-09-20,19-10-20,AB01,Create asset transactions,AMBU,GBP,DBARLOW,,Regular,G/L accounts,G/L accounts_G/L accounts,,_,_,_,_,_,,_,_,_,_,_,155600,156600_701000,1473.95,1895.95,-1473.95,-1895.95
5385,2021,100000014,:Not assigned,:Not assigned_:Not assigned,0000030527:LEFT BANK PICTURES,0000030527:LEFT BANK PICTURES_0000030527:LEFT BANK PICTURES,,_,,_,S,S_S,160425,0000170425_0000700100,0000160425 : Furn & Fix NonRecon,0000170425 : Accum Dep Fur&FixNR_0000700100 : Oth Inc,Furn & Fix NonRecon,Accum Dep Fur&FixNR_Oth Inc,,_,,_Y,,_,,_,|,,|_|,_,_,,_,_,,,_,_,,_,Left Bank Pictures Ltd,7,AA,Asset Posting,30-09-20,30-09-20,19-10-20,AB01,Create asset transactions,AMBU,GBP,DBARLOW,,Regular,G/L accounts,G/L accounts_G/L accounts,,_,_,_,_,_,,_,_,_,_,_,155600,156600_701000,1699.23,2185.73,-1699.23,-2185.73
5385,2021,100000015,:Not assigned,:Not assigned_:Not assigned,0000030527:LEFT BANK PICTURES,0000030527:LEFT BANK PICTURES_0000030527:LEFT BANK PICTURES,,_,,_,S,S_S,160425,0000170425_0000700100,0000160425 : Furn & Fix NonRecon,0000170425 : Accum Dep Fur&FixNR_0000700100 : Oth Inc,Furn & Fix NonRecon,Accum Dep Fur&FixNR_Oth Inc,,_,,_Y,,_,,_,|,,|_|,_,_,,_,_,,,_,_,,_,Left Bank Pictures Ltd,7,AA,Asset Posting,30-09-20,30-09-20,19-10-20,AB01,Create asset transactions,AMBU,GBP,DBARLOW,,Regular,G/L accounts,G/L accounts_G/L accounts,,_,_,_,_,_,,_,_,_,_,_,155600,156600_701000,21728.98,27950.12,-21728.98,-27950.12
5385,2021,100000016,:Not assigned,:Not assigned_:Not assigned,0000030527:LEFT BANK PICTURES,0000030527:LEFT BANK PICTURES_0000030527:LEFT BANK PICTURES,,_,,_,S,S_S,160425,0000170425_0000700100,0000160425 : Furn & Fix NonRecon,0000170425 : Accum Dep Fur&FixNR_0000700100 : Oth Inc,Furn & Fix NonRecon,Accum Dep Fur&FixNR_Oth Inc,,_,,_Y,,_,,_,|,,|_|,_,_,,_,_,,,_,_,,_,Left Bank Pictures Ltd,7,AA,Asset Posting,30-09-20,30-09-20,19-10-20,AB01,Create asset transactions,AMBU,GBP,DBARLOW,,Regular,G/L accounts,G/L accounts_G/L accounts,,_,_,_,_,_,,_,_,_,_,_,155600,156600_701000,1787.35,2299.08,-1787.35,-2299.08
5385,2021,100000017,:Not assigned,:Not assigned_:Not assigned,0000030527:LEFT BANK PICTURES,0000030527:LEFT BANK PICTURES_0000030527:LEFT BANK PICTURES,,_,,_,S,S_S,160425,0000170425_0000700100,0000160425 : Furn & Fix NonRecon,0000170425 : Accum Dep Fur&FixNR_0000700100 : Oth Inc,Furn & Fix NonRecon,Accum Dep Fur&FixNR_Oth Inc,,_,,_Y,,_,,_,|,,|_|,_,_,,_,_,,,_,_,,_,Left Bank Pictures Ltd,7,AA,Asset Posting,30-09-20,30-09-20,19-10-20,AB01,Create asset transactions,AMBU,GBP,DBARLOW,,Regular,G/L accounts,G/L accounts_G/L accounts,,_,_,_,_,_,,_,_,_,_,_,155600,156600_701000,7333.34,9432.92,-7333.34,-9432.92
5385,2021,100000018,:Not assigned,:Not assigned_:Not assigned,0000030527:LEFT BANK PICTURES,0000030527:LEFT BANK PICTURES_0000030527:LEFT BANK PICTURES,,_,,_,S,S_S,160425,0000170425_0000700100,0000160425 : Furn & Fix NonRecon,0000170425 : Accum Dep Fur&FixNR_0000700100 : Oth Inc,Furn & Fix NonRecon,Accum Dep Fur&FixNR_Oth Inc,,_,,_Y,,_,,_,|,,|_|,_,_,,_,_,,,_,_,,_,Left Bank Pictures Ltd,7,AA,Asset Posting,30-09-20,30-09-20,19-10-20,AB01,Create asset transactions,AMBU,GBP,DBARLOW,,Regular,G/L accounts,G/L accounts_G/L accounts,,_,_,_,_,_,,_,_,_,_,_,155600,156600_701000,3303.5,4249.31,-3303.5,-4249.31
5385,2021,100000019,:Not assigned,:Not assigned_:Not assigned,0000030527:LEFT BANK PICTURES,0000030527:LEFT BANK PICTURES_0000030527:LEFT BANK PICTURES,,_,,_,S,S_S,160425,0000170425_0000700100,0000160425 : Furn & Fix NonRecon,0000170425 : Accum Dep Fur&FixNR_0000700100 : Oth Inc,Furn & Fix NonRecon,Accum Dep Fur&FixNR_Oth Inc,,_,,_Y,,_,,_,|,,|_|,_,_,,_,_,,,_,_,,_,Left Bank Pictures Ltd,7,AA,Asset Posting,30-09-20,30-09-20,19-10-20,AB01,Create asset transactions,AMBU,GBP,DBARLOW,,Regular,G/L accounts,G/L accounts_G/L accounts,,_,_,_,_,_,,_,_,_,_,_,155600,156600_701000,620.43,798.06,-620.43,-798.06
5385,2021,100000020,:Not assigned,:Not assigned_:Not assigned,0000030527:LEFT BANK PICTURES,0000030527:LEFT BANK PICTURES_0000030527:LEFT BANK PICTURES,,_,,_,S,S_S,160425,0000700100_0000170425,0000160425 : Furn & Fix NonRecon,0000700100 : Oth Inc_0000170425 : Accum Dep Fur&FixNR,Furn & Fix NonRecon,Oth Inc_Accum Dep Fur&FixNR,,_,,Y_,,_,,_,|,,|_|,_,_,,_,_,,,_,_,,_,Left Bank Pictures Ltd,7,AA,Asset Posting,30-09-20,30-09-20,19-10-20,AB01,Create asset transactions,AMBU,GBP,DBARLOW,,Regular,G/L accounts,G/L accounts_G/L accounts,,_,_,_,_,_,,_,_,_,_,_,155600,701000_156600,502.66,646.57,-502.66,-646.57
5385,2021,100000021,:Not assigned,:Not assigned_:Not assigned,0000030527:LEFT BANK PICTURES,0000030527:LEFT BANK PICTURES_0000030527:LEFT BANK PICTURES,,_,,_,S,S_S,160425,0000700100_0000170425,0000160425 : Furn & Fix NonRecon,0000700100 : Oth Inc_0000170425 : Accum Dep Fur&FixNR,Furn & Fix NonRecon,Oth Inc_Accum Dep Fur&FixNR,,_,,Y_,,_,,_,|,,|_|,_,_,,_,_,,,_,_,,_,Left Bank Pictures Ltd,7,AA,Asset Posting,30-09-20,30-09-20,19-10-20,AB01,Create asset transactions,AMBU,GBP,DBARLOW,,Regular,G/L accounts,G/L accounts_G/L accounts,,_,_,_,_,_,,_,_,_,_,_,155600,701000_156600,647.68,833.11,-647.68,-833.11
5385,2021,100000022,:Not assigned,:Not assigned_:Not assigned,0000030527:LEFT BANK PICTURES,0000030527:LEFT BANK PICTURES_0000030527:LEFT BANK PICTURES,,_,,_,S,S_S,160425,0000700100_0000170425,0000160425 : Furn & Fix NonRecon,0000700100 : Oth Inc_0000170425 : Accum Dep Fur&FixNR,Furn & Fix NonRecon,Oth Inc_Accum Dep Fur&FixNR,,_,,Y_,,_,,_,|,,|_|,_,_,,_,_,,,_,_,,_,Left Bank Pictures Ltd,7,AA,Asset Posting,30-09-20,30-09-20,19-10-20,AB01,Create asset transactions,AMBU,GBP,DBARLOW,,Regular,G/L accounts,G/L accounts_G/L accounts,,_,_,_,_,_,,_,_,_,_,_,155600,701000_156600,1218.29,1567.09,-1218.29,-1567.09
5385,2021,100000023,:Not assigned,:Not assigned,0000030527:LEFT BANK PICTURES,0000030527:LEFT BANK PICTURES,,,,,S,S,160425,170425,0000160425 : Furn & Fix NonRecon,0000170425 : Accum Dep Fur&FixNR,Furn & Fix NonRecon,Accum Dep Fur&FixNR,,,,,,_,,,|,,|,,_,,,,,,,,,,Left Bank Pictures Ltd,7,AA,Asset Posting,30-09-20,30-09-20,19-10-20,AB01,Create asset transactions,AMBU,GBP,DBARLOW,,Regular,G/L accounts,G/L accounts,,,_,_,_,_,,,_,_,_,_,155600,156600,104226.46,134067.12,-104226.46,-134067.12
5385,2021,100000024,:Not assigned,:Not assigned,0000030527:LEFT BANK PICTURES,0000030527:LEFT BANK PICTURES,,,,,S,S,160325,170325,0000160325 : Lshld Impr NonRecon,0000170325 : Accum Dep Lshld NR,Lshld Impr NonRecon,Accum Dep Lshld NR,,,,,,_,,,|,,|,,_,,,,,,,,,,Left Bank Pictures Ltd,7,AA,Asset Posting,30-09-20,30-09-20,19-10-20,AB01,Create asset transactions,AMBU,GBP,DBARLOW,,Regular,G/L accounts,G/L accounts,,,_,_,_,_,,,_,_,_,_,155400,156400,97656.35,125615.95,-97656.35,-125615.95
5385,2021,100000025,:Not assigned,:Not assigned,0000030527:LEFT BANK PICTURES,0000030527:LEFT BANK PICTURES,,,,,S,S,160525,170525,0000160525 : ME NonRecon,0000170525 : AccumDepMENonRecon,ME NonRecon,AccumDepMENonRecon,,,,,,_,,,|,,|,,_,,,,,,,,,,Left Bank Pictures Ltd,7,AA,Asset Posting,30-09-20,30-09-20,19-10-20,AB01,Create asset transactions,AMBU,GBP,DBARLOW,,Regular,G/L accounts,G/L accounts,,,_,_,_,_,,,_,_,_,_,155600,156600,31192.32,40122.87,-31192.32,-40122.87
5385,2021,100000026,:Not assigned,:Not assigned,0000030527:LEFT BANK PICTURES,0000030527:LEFT BANK PICTURES,,,,,S,S,160425,700100,0000160425 : Furn & Fix NonRecon,0000700100 : Oth Inc,Furn & Fix NonRecon,Oth Inc,,,,Y,,_,,,|,,|,,_,,,,,,,,,,Left Bank Pictures Ltd,7,AA,Asset Posting,30-09-20,30-09-20,20-10-20,ABZON,Acquis. w/Autom. Offsetting Entry,AMBU,GBP,DBARLOW,,Regular,G/L accounts,G/L accounts,,,_,_,_,_,,,_,_,_,_,155600,701000,6900.0,8875.51,-6900.0,-8875.51
5385,2021,100000027,:Not assigned_:Not assigned,:Not assigned,0000030527:LEFT BANK PICTURES_0000030527:LEFT BANK PICTURES,0000030527:LEFT BANK PICTURES,_,,_,,S_S,S,0000170825_0000700100,160825,0000170825 : Accum Depr HW NR_0000700100 : Oth Inc,0000160825 : Comptr HW NonRecon,Accum Depr HW NR_Oth Inc,Comptr HW NonRecon,_,,_Y,,_,_,_,,|_|,_,|,,_,_,,,_,_,,,_,,Left Bank Pictures Ltd,7,AA,Asset Posting,30-09-20,30-09-20,20-10-20,AB08,Reverse Line Items,AMBU,GBP,DBARLOW,,Regular,G/L accounts_G/L accounts,G/L accounts,_,,_,_,_,_,_,,_,_,_,_,156800_701000,155800,17395.83,22376.36,-17395.83,-22376.36
5385,2021,100000028,:Not assigned,:Not assigned_:Not assigned,0000030527:LEFT BANK PICTURES,0000030527:LEFT BANK PICTURES_0000030527:LEFT BANK PICTURES,,_,,_,S,S_S,160825,0000170825_0000700100,0000160825 : Comptr HW NonRecon,0000170825 : Accum Depr HW NR_0000700100 : Oth Inc,Comptr HW NonRecon,Accum Depr HW NR_Oth Inc,,_,,_Y,,_,,_,|,,|_|,_,_,,_,_,,,_,_,,_,Left Bank Pictures Ltd,7,AA,Asset Posting,30-09-20,30-09-20,20-10-20,AB01,Create asset transactions,AMBU,GBP,DBARLOW,,Regular,G/L accounts,G/L accounts_G/L accounts,,_,_,_,_,_,,_,_,_,_,_,155800,156800_701000,17395.83,22376.36,-17395.83,-22376.36
5385,2021,100000029,0000303402:OFFICE (CC5385)_:Not assigned_:Not assigned,:Not assigned_:Not assigned_:Not assigned,0000030527:LEFT BANK PICTURES_0000030527:LEFT BANK PICTURES_0000030527:LEFT BANK PICTURES,0000030527:LEFT BANK PICTURES_0000030527:LEFT BANK PICTURES_0000030527:LEFT BANK PICTURES,__,__,__,__,S_S_S,S_S_S,0000646022_0000800550_0000202150,0000182400_0000202150_0000290550,0000646022 : ROU Bldg Op Amort_0000800550 : Int Expn - Leases_0000202150 : Oprt Lease Curr LTD,0000182400 : Accum Amort ROU Bldg_0000202150 : Oprt Lease Curr LTD_0000290550 : LT Debt Oprt Lease,ROU Bldg Op Amort_Int Expn - Leases_Oprt Lease Curr LTD,Accum Amort ROU Bldg_Oprt Lease Curr LTD_LT Debt Oprt Lease,__,__,Y_Y_,__,__,_,__,__,|_|_|,__,|_|_|,__,_,__,__,__,__,__,__,__,Y__,__,Left Bank Pictures Ltd,7,SA,G/L Account Document,20-10-20,20-10-20,20-10-20,FB01,Post Document,BKPF,GBP,SFANG,Siya Fang,Manual,G/L accounts_G/L accounts_G/L accounts,G/L accounts_G/L accounts_G/L accounts,__,__,_,_,_,_,__,__,_,_,_,_,603890_855000_201350,158920_201350_251350,19679.23,25480.67,-19679.23,-25480.67
5385,2021,100000030,0000303402:OFFICE (CC5385)_:Not assigned_:Not assigned,:Not assigned_:Not assigned_:Not assigned,0000030527:LEFT BANK PICTURES_0000030527:LEFT BANK PICTURES_0000030527:LEFT BANK PICTURES,0000030527:LEFT BANK PICTURES_0000030527:LEFT BANK PICTURES_0000030527:LEFT BANK PICTURES,__,__,__,__,S_S_S,S_S_S,0000646022_0000800550_0000202150,0000182400_0000202150_0000290550,0000646022 : ROU Bldg Op Amort_0000800550 : Int Expn - Leases_0000202150 : Oprt Lease Curr LTD,0000182400 : Accum Amort ROU Bldg_0000202150 : Oprt Lease Curr LTD_0000290550 : LT Debt Oprt Lease,ROU Bldg Op Amort_Int Expn - Leases_Oprt Lease Curr LTD,Accum Amort ROU Bldg_Oprt Lease Curr LTD_LT Debt Oprt Lease,__,__,Y_Y_,__,__,_,__,__,|_|_|,__,|_|_|,__,_,__,__,__,__,__,__,__,Y__,__,Left Bank Pictures Ltd,7,SA,G/L Account Document,20-10-20,20-10-20,20-10-20,FB01,Post Document,BKPF,GBP,SFANG,Siya Fang,Manual,G/L accounts_G/L accounts_G/L accounts,G/L accounts_G/L accounts_G/L accounts,__,__,_,_,_,_,__,__,_,_,_,_,603890_855000_201350,158920_201350_251350,20160.16,26103.37,-20160.16,-26103.37
5385,2021,100000031,:Not assigned,:Not assigned,0000030527:LEFT BANK PICTURES,0000030527:LEFT BANK PICTURES,,,,,S,S,100510,100530,0000100510 : COU-534779Op,0000100530 : COU-701325Op,COU-534779Op,COU-701325Op,Y,Y,,,,_,,,|,,|,,_,,,,,,,,,,Left Bank Pictures Ltd,7,SA,G/L Account Document,22-10-20,22-10-20,22-10-20,FB50,G/L Acct Pstg: Single Screen Trans.,BKPF,GBP,DBARLOW,,Manual,G/L accounts,G/L accounts,,,_,_,_,_,,,_,_,_,_,101000,101000,420000.0,552260.98,-420000.0,-552260.98
